MM_A_LENGTH,MM_B_LENGTH,sharpe_ratio,cumulative_return,annualized_return,annualized_volatility,max_drawdown,success
16,10,0.3317512571531779,0.3097660603992749,0.02736324811127866,0.08248121904974233,-0.11965913369976855,True
14,3,0.32772658031614993,0.29900712717237443,0.026515859587492363,0.08090848036162691,-0.1373119414162296,True
20,7,0.3260281565311975,0.303931327677176,0.02690447728458345,0.08252194402727597,-0.13270102964569386,True
11,6,0.32422662446432293,0.29476359824854925,0.026179895448143364,0.08074566822325886,-0.10128905454382953,True
14,9,0.32405744878653175,0.29739160909000106,0.026388074112950077,0.08143023470610869,-0.1250124132885274,True
19,9,0.32336804341978065,0.3016144265898575,0.026721792369693853,0.08263584764622187,-0.15469389548394707,True
13,10,0.3147812917934687,0.28537446983795234,0.025433013390685266,0.08079582254008962,-0.1280554388107752,True
18,10,0.3132405293460527,0.29289092919309034,0.02603131924869384,0.0831032922305393,-0.15807055505553913,True
16,13,0.3113190959744935,0.2886684946839855,0.025695602421729635,0.08253782936538813,-0.1506739951233117,True
13,11,0.3082061110758426,0.2822688586575939,0.025184888853948983,0.08171443702409764,-0.1491644135489878,True
12,5,0.3069196657264379,0.278098602009232,0.024850851780316097,0.08096858740379977,-0.10767764784478817,True
13,9,0.30595424724572257,0.2797127877562857,0.024980264064550006,0.08164705765462861,-0.1289708059700354,True
14,11,0.3045188614743099,0.276568452792205,0.024728040985564137,0.08120364323524921,-0.14570274235771086,True
13,7,0.30052530923029785,0.2762540435323837,0.02470278988272656,0.08219870048880434,-0.12067793228872503,True
16,12,0.3000756254793433,0.2766553241565972,0.024735016885348182,0.08242927710585043,-0.14797166761099534,True
19,2,0.290240471917347,0.26471152582794244,0.0237718798780846,0.08190408360710708,-0.11586387379067242,True
10,5,0.28941605242654966,0.2562920207860988,0.02308800729705962,0.0797744530874599,-0.12307933885080413,True
13,5,0.28738212733010793,0.26052444716167167,0.023432299115124566,0.08153707863749136,-0.11199306419752408,True
17,11,0.2849807468447627,0.2623533878214457,0.023580754670678328,0.08274507991069112,-0.1638699716677594,True
15,11,0.2848707475960516,0.25875108913094635,0.02328816999551342,0.08174995218721504,-0.14810150854732385,True
13,8,0.2840736351501271,0.2595479907719953,0.023352960520595545,0.082207419594761,-0.1280486915284096,True
13,6,0.2822150862618453,0.2545842945148673,0.022948794608715906,0.08131668265042186,-0.1064107221617484,True
18,2,0.27957203723075463,0.2532258576846904,0.022837933922175147,0.08168890618815734,-0.11368727406020385,True
12,7,0.27908678909912427,0.2522265664291006,0.02275631369177633,0.08153848401507062,-0.13093531735749164,True
10,7,0.2774165966160039,0.2491885874080484,0.02250781678875291,0.08113363462499654,-0.11808454984654893,True
12,8,0.2766161199953363,0.252290236791225,0.022761515915341812,0.08228557292946473,-0.14033840416364207,True
20,2,0.27304367455801404,0.2471941930730257,0.02234438586251808,0.08183447537720025,-0.12010976848637911,True
8,5,0.27177490278264754,0.2370336200517691,0.021508107035591806,0.0791394158009982,-0.12586580224098531,True
12,4,0.26804067143984295,0.2403760851364214,0.021783892970592245,0.08127084913485325,-0.16708415123487608,True
18,11,0.26473474673490044,0.24178957655945088,0.021900318607883884,0.08272551630638188,-0.15525480269554703,True
11,9,0.26224412591439017,0.23783250406519496,0.02157408368341307,0.08226717608331081,-0.1164006232244218,True
17,2,0.25816616119305813,0.23243786411575762,0.021127815397508076,0.0818380507339557,-0.1180093745141726,True
10,6,0.2567886380219298,0.22617485533726178,0.020607501242839943,0.0802508296378754,-0.12054788716443365,True
12,9,0.25572601322612115,0.2295596740132635,0.020888999219230264,0.08168507753945055,-0.13250954125003822,True
14,10,0.25494597004817743,0.22850053073425003,0.020800990763953697,0.08158980022325087,-0.12593711587129774,True
15,12,0.252300674074074,0.2258322043325316,0.02057896575184004,0.08156524284908638,-0.14042673892909152,True
10,4,0.25166029517235355,0.2206916378536128,0.02015000272328238,0.08006826309045822,-0.1195625996138191,True
20,9,0.2492862647582729,0.22604368630028482,0.020596578518877084,0.08262219556640679,-0.16604122767215734,True
15,14,0.24863559782112524,0.22549325618101368,0.020550731565846858,0.0826540195609141,-0.16080987397675828,True
12,6,0.24511168955911453,0.2157571327318102,0.019736702796308014,0.08052126290593757,-0.12025741707069082,True
13,3,0.2450633861469717,0.21733751216029162,0.01986923489230641,0.08107794152648427,-0.14858170133159287,True
12,10,0.2407543443019995,0.21245250705990015,0.019459071989762933,0.08082542413171866,-0.13889255595182493,True
11,8,0.23303343373531674,0.20878236985474374,0.01914993425494038,0.08217676729035885,-0.12719888011012292,True
10,9,0.22996080457123866,0.20555485868459566,0.018877380322463555,0.08208955590349575,-0.12412236526966203,True
19,10,0.22994850348033863,0.207699032057427,0.01905852262767449,0.0828816988987452,-0.159193744719497,True
14,2,0.22660730220891384,0.20241619419937007,0.018611698685857325,0.08213194590127915,-0.1353570195833942,True
15,13,0.22616680101153033,0.20121258292135602,0.01850964982462444,0.08184070226859154,-0.14496821126202575,True
16,14,0.22574001732927187,0.20246670933061606,0.018615979629303947,0.08246645787286382,-0.13496922491588537,True
15,2,0.22524460176645258,0.19966759108420962,0.01837852185918032,0.08159361740547415,-0.13178289988576608,True
17,12,0.22015882039305867,0.19855804498784368,0.018284257647616542,0.08305030711453168,-0.1661853534453488,True
16,2,0.22014628488199728,0.1945505760610413,0.017943137945598764,0.0815055223630807,-0.12827740247705255,True
9,5,0.21766146595326677,0.1859487388112806,0.01720744946718189,0.07905602120164179,-0.12268672199422515,True
12,3,0.20872712026199863,0.1817566148854468,0.01684716802769448,0.08071384306240399,-0.153958229558683,True
13,12,0.20825276740800605,0.1831896397652253,0.016970454914831068,0.08148969699683643,-0.15196891342999408,True
14,12,0.2070870979044369,0.18068780180456967,0.016755127608707454,0.08090860212083,-0.12811537019790964,True
17,13,0.20284345265146153,0.18221586224224962,0.016886692924801938,0.08324987917563069,-0.1463535925170545,True
20,10,0.18741526435867775,0.16666548472417664,0.015540604679197045,0.08292069876152262,-0.1574309082062092,True
10,8,0.17825030373195397,0.1547899588158077,0.014501704760849332,0.08135584881053805,-0.14450812193727902,True
11,3,0.17660621921972097,0.15147688907345236,0.014210154080668724,0.08046236504836478,-0.13765620016759283,True
11,4,0.17301032499659755,0.14800795637202135,0.01390407726487397,0.08036559243009,-0.13453900689026588,True
20,11,0.1696795196149662,0.15062888124502227,0.014135407913697717,0.08330650596945076,-0.15028208359546424,True
14,13,0.16871269138609318,0.14696272125081755,0.01381168910137287,0.08186514593478504,-0.1353410416021924,True
12,11,0.16803711395884094,0.14415912075928872,0.01356350459953548,0.08071731464548795,-0.14866034289092023,True
19,11,0.16168710080417098,0.14272519883620371,0.013436357207444294,0.08310098418870085,-0.15534923695884728,True
9,4,0.145708912460128,0.12212112294605704,0.011593337272798099,0.07956505252189373,-0.13998245316197833,True
10,3,0.1402476441328151,0.11936453481604081,0.011344456678162418,0.0808887503837082,-0.14143108163133422,True
